client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912728.mp3	447d593c4554bc3bcb9012d28c9b2ef55913464aa04378a561f8f49e6bf5caef	Thất bại là mẹ thành công		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912729.mp3	3451dd3560a2996cef33e6ac5d33c00ce87c574f183bf92a2c5da1b6732c74c8	Cái Thảo nó chết rồi làm gì có mà gọi lắm thế		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912730.mp3	463492b66a674a8ce345e12b13872951175683a024a8e4292baed242f482ad23	Dẫu cuộc đời dù có phải đổi thay		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912731.mp3	312cd265f508923993a53db3c5fe7c0d2c3aab76ee97a2ecea1019318ad84fc8	Mẹ vẫn lo âu		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912732.mp3	3b9422bb2dc6b7f3f6765214c244f9f355e7b2f8d662cfa4cc7a5f588d09f395	Cơn lạnh nào cũng ấm nếu có đôi		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912733.mp3	2b9de44d734c457384fe5abca1148a387838b2858fe9c4dfe5be6d54469f1ee6	Nhưng anh chàng đã kịp phóng qua hàng rào		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912734.mp3	47e4bd556ec8113280d633212e39285995b5c81b67ea1efba33c56515d08efb4	Tay gối đầu anh nghĩ chuyện vẩn vơ		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912735.mp3	3d2263f54841236160e82a310890786259e5a93a3b6838de572230f2fbcf289d	Mẹ em hốt hoảng nói		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912736.mp3	013fd6d953fc1eb7297102c5b1510ae1fe6241a4b755c2029d6a3b4602b3183d	Không giấu gì ông		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
bab4e105d8a5e80e3e2cc81970d329343013278cc9e461a0edf0687096235a4c69d3dd3c247761782e0ec21f91cddaaaec3219024579755e83bcf3c197598f49	common_voice_vi_41912737.mp3	009297bee3413d278e791f66877232304bc7744daa76cf2585765b2665f82a36	Nhưng mà đêm hôm qua không có đứa nào bị bắt cả		0	0	thirties		Giọng miền Bắc (Hà Nội),Giọng chuẩn miền Bắc		vi	
ea43183539508d6c70afc1eb2324a1041d2f15f962e0b6c657a7f5b16a7c3228a51ac4b5053cc1882e30bd5764f93134e54b3ec3f48cab043dfcdff9791d2789	common_voice_vi_41922673.mp3	0d89d8171eb6775ce9c631bc34379df9cb66ac562f3880bdad31820c2e1a1ff8	Hẹn gặp nhau xong		0	0					vi	
ea43183539508d6c70afc1eb2324a1041d2f15f962e0b6c657a7f5b16a7c3228a51ac4b5053cc1882e30bd5764f93134e54b3ec3f48cab043dfcdff9791d2789	common_voice_vi_41922674.mp3	3ca6bc142a1413612af2e636d4effcc73d61e195b300b9a86ac39fddee841f9a	Thoảng mùi hương cốm nơi đâu?		0	0					vi	
ea43183539508d6c70afc1eb2324a1041d2f15f962e0b6c657a7f5b16a7c3228a51ac4b5053cc1882e30bd5764f93134e54b3ec3f48cab043dfcdff9791d2789	common_voice_vi_41922675.mp3	013fd6d953fc1eb7297102c5b1510ae1fe6241a4b755c2029d6a3b4602b3183d	Không giấu gì ông		0	0					vi	
ea43183539508d6c70afc1eb2324a1041d2f15f962e0b6c657a7f5b16a7c3228a51ac4b5053cc1882e30bd5764f93134e54b3ec3f48cab043dfcdff9791d2789	common_voice_vi_41922676.mp3	23c239cf9e0c0746800842bedf0b2fef581ba6239b78eb1d5b108c4cc437fdec	ngày nào nó cũng lang thang khắp nơi theo chân con cô		0	0					vi	
ea43183539508d6c70afc1eb2324a1041d2f15f962e0b6c657a7f5b16a7c3228a51ac4b5053cc1882e30bd5764f93134e54b3ec3f48cab043dfcdff9791d2789	common_voice_vi_41922677.mp3	0166d29cc7351260607fa73370adfe2d94ed5fc2b2eefae507fb9aa66990663c	Ngọc trợn mắt nhếch mép kiểu thách thức		0	0					vi	
325d23d9f57dd4495939f5f62e67e55614a938264e4ae1dd625e66aa9b9bd124fb99119b3caab3882e6b762019dd07e2dd608d2af27cc11f5f339f1f27150d40	common_voice_vi_41939054.mp3	348b802fffbe8fd245075f3dbc0cf74326f4a75c46aca658c8251d064a1a38fa	Mẹ cũng uống thuốc rồi		0	0					vi	
325d23d9f57dd4495939f5f62e67e55614a938264e4ae1dd625e66aa9b9bd124fb99119b3caab3882e6b762019dd07e2dd608d2af27cc11f5f339f1f27150d40	common_voice_vi_41939055.mp3	3938c1063df347a73e26e1a315ec54a9a9df438d81fd83242100a073025a8f15	Chẳng làm ngây ngất người qua lại		0	0					vi	
325d23d9f57dd4495939f5f62e67e55614a938264e4ae1dd625e66aa9b9bd124fb99119b3caab3882e6b762019dd07e2dd608d2af27cc11f5f339f1f27150d40	common_voice_vi_41939056.mp3	451b9551fa2eb34153f1ad458c6ad112df859a65a90d27e402924cc0d428495b	cùng với bà bói sang kể chuyện với con thảo		0	0					vi	
